ID,serial,?13C,?18O,stdev 13C,stdev 18O,dist,Genus,?13C1750
P01,1,-12.2,1.8,0,0.1,55,Po,-11.6
P01,2,-13,1,0,0.1,60,Po,-12.5
P01,3,-13.2,0,0,0.1,65,Po,-12.7
P01,4,-13.1,-0.8,0,0.1,70,Po,-12.6
P01,5,-13.1,0,0,0.1,76,Po,-12.6
P01,6,-13.6,-0.1,0,0.1,81,Po,-13.0
P01,7,-12.6,-0.2,0,0.1,86,Po,-12.0
P01,8,-12.4,0,0,0.1,90,Po,-11.9
P01,9,-12.2,0.3,0,0.1,95,Po,-11.7
P01,10,-12.5,0.9,0,0.1,99,Po,-12.0
P03,1,-10.7,0.4,0,0.1,40,Po,-10.0
P03,2,-10.1,-0.5,0,0.1,46,Po,-9.4
P03,3,-7.7,-0.6,0,0.1,51,Po,-7.0
P03,4,-4.9,-1.6,0,0.1,56,Po,-4.2
P03,5,-4.1,-1.6,0,0.1,61,Po,-3.4
P03,6,-4.9,-2.4,0,0.1,66,Po,-4.2
P03,7,-7.2,-2.9,0,0.1,71,Po,-6.5
P03,8,-8.7,-2.3,0,0.1,76,Po,-8.0
P03,9,-9.5,-0.2,0,0.1,81,Po,-8.8
P03,10,-10.4,-0.1,0,0.1,86,Po,-9.8
P03,11,-9.5,-0.1,0,0.1,92,Po,-8.8
P03,12,-6.9,-0.2,0,0.1,97,Po,-6.2
P03,13,-5.8,-0.7,0,0.1,103,Po,-5.1
P03,14,-3.4,-0.8,0,0.1,109,Po,-2.8
P03,15,-6.1,-1.8,0,0.1,114,Po,-5.4
P03,16,-7.2,-2.1,0,0.1,119,Po,-6.5
P03,17,-8.8,-1.7,0,0.1,125,Po,-8.2
P03,18,-10.5,-0.2,0,0.1,130,Po,-9.8
P03,19,-11.3,1.2,0,0.1,135,Po,-10.6
P03,20,-11.8,1.7,0,0.1,140,Po,-11.1
P04,1,-3.1,3.7,0,0.1,0,Ph,-2.5
P04,2,-0.6,3.9,0,0.1,2,Ph,-0.1
P04,3,0.6,3.3,0,0.1,4.4,Ph,1.1
P04,4,0.3,3.8,0,0.1,6.4,Ph,0.8
P04,5,-1.2,4.3,0,0.1,8.5,Ph,-0.7
P04,6,-4.7,3.5,0,0.1,11.3,Ph,-4.2
P04,7,-4.9,2.1,0,0.1,13.5,Ph,-4.3
P04,8,-4.1,1.7,0,0.1,15.5,Ph,-3.6
P04,9,-2.7,2,0,0.1,17.2,Ph,-2.2
P04,10,-2.1,2.1,0,0.1,18.5,Ph,-1.6
P04,11,-1.7,2.1,0,0.1,20.1,Ph,-1.1
P04,12,-1.1,2.7,0,0.1,21.7,Ph,-0.6
P04,14,-0.6,4.1,0,0.1,25,Ph,0.0
P04,16,-0.1,5.5,0,0.1,28,Ph,0.4
P04,17,-0.9,6.2,0,0.1,29.6,Ph,-0.3
P05,1,-12.5,-2.8,0.1,0.1,32,Po,-11.9
P05,2,-13.5,-3.2,0.1,0.1,38,Po,-12.9
P05,3,-12.2,-3.7,0.1,0.1,42,Po,-11.6
P05,4,-12.1,-4.3,0.1,0.1,46,Po,-11.5
P05,5,-11.2,-3.9,0.1,0.2,51,Po,-10.6
P05,6,-10.4,-4.1,0.1,0.3,55,Po,-9.8
P05,7,-10.1,-4.3,0,0.1,60,Po,-9.5
P05,8,-9.6,-4.3,0.2,0.1,65,Po,-9.0
P05,9,-9.3,-3.8,0.1,0.1,69,Po,-8.7
P05,10,-7.5,-3.8,0.1,0.1,74,Po,-6.9
P05,11,-9.5,-3.3,0.1,0.1,79,Po,-8.9
P05,12,-10.5,-3.5,0,0.1,84,Po,-9.9
P05,13,-10.5,-4.2,0.1,0.1,89,Po,-9.9
P05,14,-11,-3.8,0,0.1,95.5,Po,-10.4
P05,15,-12.7,-4,0.1,0.1,102,Po,-12.1
P05,16,-12.5,-3.8,0.1,0.2,107,Po,-11.9
P05,17,-10,-3.1,0.1,0.2,112,Po,-9.4
P05,18,-10.5,-3,0.1,0.1,117.5,Po,-9.9
P05,19,-7.7,-3.3,0.1,0.2,122,Po,-7.1
P06,1,-0.6,2.9,0,0.1,1,Ph,0.0
P06,2,-1.3,2.5,0.1,0.1,3,Ph,-0.7
P06,3,0.5,1.5,0.1,0.2,5,Ph,0.9
P06,4,0.9,1.2,0.1,0.1,7.2,Ph,1.4
P06,5,1.3,1.2,0.1,0.1,9,Ph,1.8
P06,7,1.2,2.8,0.1,0.1,11.2,Ph,1.7
P06,6,0.9,2.7,0.1,0.1,13,Ph,1.4
P06,8,1.1,3.8,0,0.1,15,Ph,1.6
P06,9,0.6,4.5,0,0.1,17,Ph,1.1
P06,10,0.2,4.1,0.1,0.1,19.2,Ph,0.7
P06,11,0,4.1,0,0.1,21.5,Ph,0.5
P06,12,-0.7,4.2,0.1,0.2,24,Ph,-0.2
P06,13,-0.4,3.8,0.1,0.1,26,Ph,0.1
P06,14,0.3,3.7,0,0.1,28,Ph,0.8
P06,15,0.7,3.3,0.1,0.1,31,Ph,1.2
P06,16,1.1,4,0,0.1,33.2,Ph,1.6
P06,17,1.2,4.5,0.1,0.1,35.5,Ph,1.7
P07,1,1.3,1,0.1,0.1,2,Ph,2.3
P07,2,1.3,0.8,0.1,0.1,4,Ph,2.3
P07,3,1,0.7,0.1,0.1,6,Ph,2.0
P07,4,0.3,0.5,0,0.1,8,Ph,1.3
P07,5,0.5,0.5,0.1,0.1,10.3,Ph,1.5
P07,6,0.5,2.1,0.1,0.1,12.5,Ph,1.5
P07,7,0.9,3,0.1,0.1,14.5,Ph,1.9
P07,8,0.9,2.7,0.1,0.1,17,Ph,1.9
P07,9,0.6,2.4,0.1,0.1,19,Ph,1.6
P07,10,-0.4,2.6,0.1,0.1,21,Ph,0.6
P07,11,0,2.5,0.1,0.1,23,Ph,1.0
P07,12,1.2,1.3,0.1,0.1,25,Ph,2.2
P07,13,0.7,1.7,0,0.1,27.2,Ph,1.7
P07,14,1.1,0.7,0.1,0.1,29.4,Ph,2.1
P07,15,0.9,0.3,0.1,0.1,31.2,Ph,1.9
P07,16,0.5,0.3,0.1,0.1,33,Ph,1.5
P07,17,-0.3,0.3,0.1,0.1,35,Ph,0.7
NKU245,1,-0.9,0.9,0.1,0.2,1,Ph,0.8
NKU245,2,-0.7,2,0.1,0.2,2.6,Ph,1.0
NKU245,3,-0.3,2.2,0.1,0.2,4,Ph,1.5
NKU245,4,-0.2,2.9,0.1,0.2,6,Ph,1.5
NKU245,5,0,3,0,0.3,8,Ph,1.8
NKU245,6,0.1,2.8,0.1,0.2,10,Ph,1.8
NKU245,7,0.1,2.5,0,0.1,12,Ph,1.9
NKU245,8,-0.3,1.9,0,0.1,14,Ph,1.4
NKU245,9,0.4,2.3,0.1,0.2,15.6,Ph,2.2
NKU245,10,0.3,2.4,0.1,0.2,17.6,Ph,2.0
NKU245,11,-0.4,1.1,0.1,0.1,19.7,Ph,1.3
NKU245,12,-0.1,2,0.1,0.1,21.6,Ph,1.7
NKU245,13,-0.8,1.1,0,0.1,23.3,Ph,1.0
NKU245,14,-0.2,1.4,0,0.1,25.4,Ph,1.6
NKU245,15,0,1.2,0.1,0.2,27.3,Ph,1.7
NKU245,16,-0.3,1.9,0,0.1,29.2,Ph,1.4
NKU257,1,-0.6,2.2,0.1,0.2,0,Ph,1.2
NKU257,2,-0.7,3.1,0.1,0.1,2.1,Ph,1.0
NKU257,3,-0.3,4.1,0,0.2,4.3,Ph,1.4
NKU257,5,0.1,3.7,0,0.1,8.4,Ph,1.8
NKU257,6,-0.6,3.8,0,0.2,10.5,Ph,1.2
NKU257,7,-0.3,4.5,0,0.2,12.7,Ph,1.4
NKU257,8,-0.2,5.2,0,0.2,15,Ph,1.5
NKU257,9,-0.6,4,0.1,0.1,17.5,Ph,1.1
NKU257,10,0,5.1,0.1,0.2,20,Ph,1.7
NKU257,11,-0.3,4.5,0.1,0.1,22.3,Ph,1.4
NKU257,12,-0.2,4.7,0,0.1,24.2,Ph,1.5
NKU265,1,-1.6,0.1,0.1,0.3,1.2,Ph,0.2
NKU265,2,0.2,0.9,0,0.2,3.5,Ph,1.9
NKU265,3,-0.2,2.1,0,0.1,5.6,Ph,1.5
NKU265,4,0.1,2.2,0.1,0.1,7.6,Ph,1.8
NKU265,5,0.3,2.8,0.1,0.1,9.5,Ph,2.0
NKU265,6,0.4,4.7,0.1,0.1,11.5,Ph,2.1
NKU265,7,0.3,4.7,0,0.1,13.5,Ph,2.0
NKU265,8,0.3,4.7,0.1,0.1,15,Ph,2.1
NKU265,9,0,4.6,0.1,0.1,17.2,Ph,1.7
SAM01,1,-0.7,-1,0,0.3,12,Ph,1.3
SAM01,2,-1.6,-1.1,0.1,0.1,14.7,Ph,0.3
SAM01,3,0,1.7,0.1,0.1,17.5,Ph,2.0
SAM01,4,-1.4,-0.5,0.1,0.1,20.5,Ph,0.5
SAM01,5,-1.5,0,0.1,0.3,23.3,Ph,0.5
SAM01,6,0.1,2,0,0.1,25.5,Ph,2.1
SAM01,7,-2,-2.6,0.1,0.3,28.8,Ph,-0.1
SAM01,8,-0.3,-2,0.1,0.2,31,Ph,1.7
SAM01,9,-2.1,-1.8,0.1,0.2,34,Ph,-0.2
SAM01,10,-2.3,-2.4,0.1,0.2,36.7,Ph,-0.4
SAM01,11,-2.2,-1.3,0.1,0.2,39,Ph,-0.3
SAM01,12,-1.5,0.3,0.1,0.2,41.2,Ph,0.5
SAM01,13,-0.2,3.3,0,0.1,43.5,Ph,1.7
SAM01,14,-1.7,-0.2,0,0.1,45.8,Ph,0.2
SAM02,1,-1.2,0.1,0.1,0.1,5.7,Ph,0.8
SAM02,2,-1.3,-1.4,0,0.1,8.3,Ph,0.7
SAM02,3,-1.5,-1.6,0.1,0.1,10.5,Ph,0.5
SAM02,4,-1.7,-3.1,0,0.2,13.2,Ph,0.3
SAM02,5,-0.9,-2.2,0,0.1,15.8,Ph,1.1
SAM02,6,-0.2,-1.3,0,0.1,18.3,Ph,1.8
SAM02,7,0.4,-1.5,0.1,0.2,20.7,Ph,2.3
SAM02,8,-0.1,-1.9,0.1,0.1,23,Ph,1.8
SAM02,9,0.6,-2.6,0.1,0.1,25.5,Ph,2.5
SAM02,10,-0.7,-4.2,0,0.2,27.7,Ph,1.3
SAM02,11,-0.7,-2.4,0.1,0.1,30.1,Ph,1.2
SAM03,1,-0.7,3.8,0.1,0.2,6.5,Ph,1.3
SAM03,2,-0.3,3.2,0.1,0.2,9.2,Ph,1.7
SAM03,3,0,3.8,0.1,0.2,12,Ph,2.0
SAM03,4,0,3.2,0,0.2,14.6,Ph,2.0
SAM03,5,0,3.8,0.1,0.1,18,Ph,1.9
SAM03,6,-0.8,2.9,0.1,0.2,21.2,Ph,1.1
SAM03,7,-1.3,3.9,0.1,0.1,23.8,Ph,0.7
SAM03,8,-2.9,3.7,0,0.1,26.3,Ph,-0.9
SAM03,9,-3,3.1,0.1,0.1,29,Ph,-1.0
SAM03,10,-2.1,2.2,0,0.1,31.8,Ph,-0.1
SAM03,11,-1.6,1.3,0.1,0.1,34.3,Ph,0.4
SAM03,12,-2.7,-0.1,0.1,0.1,36.6,Ph,-0.7
SBL01,1,-1.7,2.7,0,0.1,12.2,Ph,0.4
SBL01,2,-0.7,4,0,0.1,14.5,Ph,1.4
SBL01,3,-0.6,2.7,0,0.1,16.5,Ph,1.5
SBL01,4,0,2.3,0.1,0.1,18.5,Ph,2.1
SBL01,5,0.1,2.4,0.1,0.1,20.5,Ph,2.3
SBL01,6,0,2.7,0,0.1,22.8,Ph,2.2
SBL01,7,-0.4,2.7,0,0.1,25,Ph,1.7
SBL01,8,0.2,2.9,0.1,0.1,27.3,Ph,2.3
SBL01,9,0.3,3.2,0.1,0.1,29.5,Ph,2.4
SBL01,10,0.6,2.2,0.1,0.1,32,Ph,2.7
SBL01,11,0.7,2.3,0.1,0.1,34.2,Ph,2.8
SBL01,12,0.2,1.3,0.1,0.1,36.4,Ph,2.4
SBL01,13,0.2,1,0,0.1,38.7,Ph,2.3
SBL01,14,0.2,1.5,0.1,0.1,41,Ph,2.3
SBL02,1,-0.3,4.8,0.1,0.1,8,Ph,1.9
SBL02,2,-0.5,5.8,0.1,0.1,10,Ph,1.6
SBL02,3,-0.6,6.1,0.1,0.1,12,Ph,1.6
SBL02,4,-0.4,5.9,0.1,0.2,13.8,Ph,1.8
SBL02,5,-0.4,3.7,0,0.1,16,Ph,1.8
SBL02,6,-0.5,2.6,0.1,0.1,18,Ph,1.7
SBL02,7,-0.5,2.1,0.1,0.1,20,Ph,1.6
SBL02,8,-0.4,2.6,0.1,0.1,22,Ph,1.7
SBL02,9,-0.6,2.5,0.1,0.1,24.2,Ph,1.6
SBL02,10,-0.4,2.7,0.1,0.1,26.2,Ph,1.7
SBL02,11,-0.5,2.6,0.1,0.1,28.5,Ph,1.6
SBL02,12,-0.6,2.7,0.1,0.1,31,Ph,1.6
SBL02,13,-0.6,2.9,0,0.1,33.5,Ph,1.6
SBL02,14,-0.3,3,0.1,0.2,35.5,Ph,1.8
SBL02,15,-0.6,3.2,0,0.1,37.7,Ph,1.5
SBL02,16,-0.6,4.2,0,0.1,40,Ph,1.5
SBL02,17,-0.3,5,0,0.1,42,Ph,1.9
SBL03,1,-0.1,1.9,0,0.1,10.2,Ph,2.0
SBL03,2,0,1.3,0.1,0.1,12.5,Ph,2.2
SBL03,3,-0.6,1.6,0.1,0.1,15,Ph,1.5
SBL03,4,-0.4,1.7,0.1,0.1,18,Ph,1.7
SBL03,5,-0.4,2.6,0.1,0.2,20.5,Ph,1.8
SBL03,6,-0.1,3,0.1,0.1,23,Ph,2.1
SBL03,7,-0.3,1.9,0.1,0.1,25.5,Ph,1.9
SBL03,8,-0.1,1.3,0.1,0.1,28.5,Ph,2.0
SBL03,9,0,1.6,0.1,0.1,31,Ph,2.2
SBL03,10,-0.3,2.7,0.2,0.1,34,Ph,1.9
SBL03,11,-0.5,3.8,0.1,0,36,Ph,1.6
SBL03,12,-0.4,3.9,0.1,0.1,40,Ph,1.7
SBL03,13,-0.7,3.4,0.1,0.1,43,Ph,1.4
SBL03,14,-0.5,2.1,0.2,0.1,46,Ph,1.6
SBL03,15,-0.8,1.4,0.1,0.1,49.5,Ph,1.3
SBL03,16,-0.6,1,0.1,0.1,52.5,Ph,1.5
